,Model,Year,Price,Transmission,Mileage,Fuel_type,Tax,Fuel_cons_mpg,Engine_size,Automatic,Manual,Semi-Auto
0, 5 Series,2014,11200,Automatic,67068,1,125,57.6,2.0,1,0,0
1, 6 Series,2018,27000,Automatic,14827,2,145,42.8,2.0,1,0,0
2, 5 Series,2016,16000,Automatic,62794,1,160,51.4,3.0,1,0,0
3, 1 Series,2017,12750,Automatic,26676,1,145,72.4,1.5,1,0,0
4, 7 Series,2014,14500,Automatic,39554,1,160,50.4,3.0,1,0,0
5, 5 Series,2016,14900,Automatic,35309,1,125,60.1,2.0,1,0,0
6, 5 Series,2017,16000,Automatic,38538,1,125,60.1,2.0,1,0,0
7, 2 Series,2018,16250,Manual,10401,2,145,52.3,1.5,0,1,0
8, 4 Series,2017,14250,Manual,42668,1,30,62.8,2.0,0,1,0
9, 5 Series,2016,14250,Automatic,36099,1,20,68.9,2.0,1,0,0
10, X3,2017,15500,Manual,74907,1,145,52.3,2.0,0,1,0
11, 1 Series,2017,11800,Manual,29840,1,20,68.9,2.0,0,1,0
12, X3,2016,15500,Automatic,77823,1,125,54.3,2.0,1,0,0
13, 2 Series,2015,10500,Manual,31469,1,20,68.9,2.0,0,1,0
14, X3,2017,22000,Automatic,19057,1,145,54.3,2.0,1,0,0
15, 3 Series,2017,16500,Manual,16570,1,125,58.9,2.0,0,1,0
16, 3 Series,2017,14250,Automatic,55594,4,135,148.7,2.0,1,0,0
17, 3 Series,2017,16000,Automatic,45456,1,30,64.2,2.0,1,0,0
18, 1 Series,2017,15500,Automatic,22812,1,20,68.9,1.5,1,0,0
19, 4 Series,2014,14000,Automatic,47348,1,125,60.1,2.0,1,0,0
20, 1 Series,2015,9700,Automatic,75124,1,20,70.6,2.0,1,0,0
21, 3 Series,2015,12600,Automatic,78957,1,30,62.8,2.0,1,0,0
22, 3 Series,2016,15100,Automatic,29213,1,30,64.2,2.0,1,0,0
23, 1 Series,2016,9400,Manual,44498,1,0,83.1,1.5,0,1,0
24, 1 Series,2016,14300,Automatic,22461,1,20,67.3,2.0,1,0,0
25, 1 Series,2016,11200,Manual,23005,2,125,53.3,1.5,0,1,0
26, 3 Series,2019,17800,Automatic,22310,1,145,64.2,2.0,1,0,0
27, 3 Series,2016,14400,Automatic,51994,1,30,62.8,2.0,1,0,0
28, X5,2016,19750,Automatic,96213,1,165,52.3,2.0,1,0,0
29, X3,2015,17400,Automatic,50316,1,200,47.9,3.0,1,0,0
30, 4 Series,2017,16800,Automatic,44011,1,150,65.7,2.0,1,0,0
31, X4,2017,23000,Automatic,34960,1,150,54.3,2.0,1,0,0
32, i3,2016,17100,Automatic,25269,4,0,470.8,0.6,1,0,0
33, 1 Series,2017,20500,Automatic,24029,2,145,39.8,3.0,1,0,0
34, 1 Series,2017,11900,Manual,22920,2,145,53.3,1.5,0,1,0
35, 2 Series,2017,13000,Automatic,61818,4,0,141.2,1.5,1,0,0
36, 3 Series,2015,11500,Manual,59634,1,125,61.4,2.0,0,1,0
37, 1 Series,2016,13500,Manual,29226,1,30,62.8,2.0,0,1,0
38, X1,2017,18900,Automatic,33514,1,145,60.1,2.0,1,0,0
39, 1 Series,2018,14600,Automatic,6522,2,145,37.2,1.5,1,0,0
40, 3 Series,2016,15800,Manual,11231,2,145,47.9,2.0,0,1,0
41, 1 Series,2016,11400,Manual,21591,2,125,53.3,1.5,0,1,0
42, X3,2013,12000,Automatic,79972,1,200,47.1,3.0,1,0,0
43, 1 Series,2018,17500,Automatic,14037,2,145,54.3,1.5,1,0,0
44, 5 Series,2017,23500,Automatic,25034,1,200,47.9,3.0,1,0,0
